id,ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
149,TCK-QJJLDMRB,Low,In Progress,Hardware,Issue related to Security,Detailed ticket description OvmeQvhJEiUiObUhQtJK,2023-04-07,2023-04-17,Admin,2025-12-10 13:49:04
150,TCK-DV1GJGYN,Medium,Resolved,Security,Issue related to Security,Detailed ticket description BKVvBnltHHMUOrFaNWIu,2024-02-20,,Unassigned,2025-12-10 13:49:04
151,TCK-3ME27X6V,Low,Resolved,Other,Issue related to Access Request,Detailed ticket description pdwdcDaTbWZWhNWtQcxt,2023-02-15,2023-03-11,IT Support 1,2025-12-10 13:49:04
152,TCK-AW15R9VN,Low,Resolved,Software,Issue related to Hardware,Detailed ticket description MIVEuNAhYgNtZHuDCMbo,2023-04-07,2023-04-28,Admin,2025-12-10 13:49:04
153,TCK-DY0B5OJ5,High,Closed,Hardware,Issue related to Hardware,Detailed ticket description gSvSjsnlsTOaAVBzyOGn,2024-10-19,2024-11-10,Admin,2025-12-10 13:49:04
154,TCK-SDXJORPD,Medium,On Hold,Access Request,Issue related to Hardware,Detailed ticket description dNpYGkzJZOxDyodHXADG,2024-05-09,,Technician A,2025-12-10 13:49:04
155,TCK-GRDMX1GJ,High,Open,Network,Issue related to Access Request,Detailed ticket description evAkKDQNErwLzyZNXPXk,2024-09-29,2024-10-14,IT Support 1,2025-12-10 13:49:04
156,TCK-CSAOUOC0,High,On Hold,Hardware,Issue related to Security,Detailed ticket description suOZscTftWzVebpVTHcH,2023-03-30,2023-04-27,Unassigned,2025-12-10 13:49:04
157,TCK-ELRXX33S,Low,In Progress,Hardware,Issue related to Security,Detailed ticket description cIHyHXXukfJhlUPMJjXi,2023-09-16,2023-10-07,IT Support 2,2025-12-10 13:49:04
158,TCK-H14B67ZO,High,On Hold,Network,Issue related to Security,Detailed ticket description CYwiejDtTEKqNfEYfoYz,2024-06-30,,Technician A,2025-12-10 13:49:04
159,TCK-9LQ02ZGR,High,Closed,Access Request,Issue related to Security,Detailed ticket description QUvPmXjDeFgDgyuswhlO,2023-10-12,2023-11-02,Technician A,2025-12-10 13:49:04
160,TCK-L1YN0HFP,Critical,Closed,Access Request,Issue related to Software,Detailed ticket description qtrefhSYjTYadWhzRCxN,2024-07-07,2024-08-03,Admin,2025-12-10 13:49:04
161,TCK-BT1RBUHY,Medium,Open,Security,Issue related to Software,Detailed ticket description QnyGQiWJaPoAnNadjncJ,2024-09-05,2024-10-05,Admin,2025-12-10 13:49:04
162,TCK-TR0HKL2Z,Medium,Resolved,Software,Issue related to Other,Detailed ticket description qWraOwbYLXBCgPHAhmjp,2024-09-26,,Unassigned,2025-12-10 13:49:04
163,TCK-W9CNRC2K,High,On Hold,Access Request,Issue related to Other,Detailed ticket description WFMXxuzSorMfhakNICGR,2024-11-02,,Admin,2025-12-10 13:49:04
164,TCK-SZH9O84Y,High,Open,Other,Issue related to Other,Detailed ticket description EIntruqFXSEeGktjJUuT,2023-06-25,2023-07-23,Technician B,2025-12-10 13:49:04
165,TCK-FJ5I7S6R,Low,Open,Access Request,Issue related to Network,Detailed ticket description pHEBOrtAPIjOqpPhnJst,2023-01-11,2023-02-07,Technician B,2025-12-10 13:49:04
166,TCK-3TTS3LR9,Medium,On Hold,Access Request,Issue related to Access Request,Detailed ticket description JzZIhYuyCcKJrNgQtpTe,2023-09-22,2023-10-11,Technician A,2025-12-10 13:49:04
167,TCK-78Z7D5XM,Low,Closed,Hardware,Issue related to Access Request,Detailed ticket description OnOyXKgOTcOsiDvTfXnu,2023-05-18,,Technician A,2025-12-10 13:49:04
168,TCK-XO8RKDOX,Medium,Closed,Software,Issue related to Software,Detailed ticket description PElpxvEIlRmiCSNEVMXE,2024-05-07,2024-05-23,Admin,2025-12-10 13:49:04
169,TCK-9T364MIS,Low,In Progress,Hardware,Issue related to Software,Detailed ticket description rGCoYXZXdrjTVMbyLuyV,2023-02-13,2023-02-25,IT Support 1,2025-12-10 13:49:04
170,TCK-V4DHJ9FP,Medium,On Hold,Security,Issue related to Network,Detailed ticket description WhWpBOXOEaIrJgAVcZNv,2024-09-27,2024-10-13,IT Support 2,2025-12-10 13:49:04
171,TCK-7VQ6X1I3,Low,Resolved,Network,Issue related to Security,Detailed ticket description srtAAjwasqTgAruCwLyV,2024-10-13,,Admin,2025-12-10 13:49:04
172,TCK-Q3KC2FOQ,Low,Closed,Security,Issue related to Other,Detailed ticket description HlxPpGiHwCqOHLKLSxTY,2023-08-12,,Technician A,2025-12-10 13:49:04
173,TCK-DYR2UZYU,Low,Resolved,Access Request,Issue related to Hardware,Detailed ticket description PQtVDwVynpLImMdsQkPd,2023-08-17,2023-09-05,Technician B,2025-12-10 13:49:04
174,TCK-Y4FK0ZN7,Medium,Resolved,Access Request,Issue related to Security,Detailed ticket description ndfcfLTHxIEwFlOokxyh,2024-11-18,2024-12-15,Technician B,2025-12-10 13:49:04
175,TCK-PXQKTL7A,Low,Closed,Access Request,Issue related to Other,Detailed ticket description ujvVNozfhbLhKlriXShS,2023-10-14,2023-10-29,Unassigned,2025-12-10 13:49:04
176,TCK-NXPMW4SK,Medium,Open,Other,Issue related to Other,Detailed ticket description flwVMLbKUjCoxceoizsy,2023-10-26,2023-10-31,Technician B,2025-12-10 13:49:04
177,TCK-27YPPY5B,Low,On Hold,Access Request,Issue related to Other,Detailed ticket description gACdjADcNLTPNwMVTdgT,2024-10-12,2024-10-16,IT Support 1,2025-12-10 13:49:04
178,TCK-PN8VDWJ5,Critical,Closed,Network,Issue related to Software,Detailed ticket description zQpRjloGmDxqJlNCFByc,2024-09-03,2024-09-04,Technician A,2025-12-10 13:49:04
179,TCK-M33LPQUK,Medium,In Progress,Security,Issue related to Network,Detailed ticket description nHsIIMguMNgOoDoaPsOb,2024-01-19,2024-02-01,Admin,2025-12-10 13:49:04
180,TCK-ANIXWCT5,Medium,Resolved,Hardware,Issue related to Network,Detailed ticket description qHWhGvflVFLYcTmgzrsv,2024-08-16,2024-08-22,IT Support 2,2025-12-10 13:49:04
181,TCK-M1NVP3LB,High,Open,Network,Issue related to Hardware,Detailed ticket description iaeTTWWrCWDcdeHMhQBD,2024-03-06,2024-03-23,Technician B,2025-12-10 13:49:04
182,TCK-BU2HX2KK,Critical,In Progress,Access Request,Issue related to Security,Detailed ticket description fSMHXSnmORxRFnNeiHoF,2023-06-20,2023-07-09,Unassigned,2025-12-10 13:49:04
183,TCK-C2BD5SFE,Low,In Progress,Access Request,Issue related to Security,Detailed ticket description uUcuOAMHTzDcfuQjfUMW,2023-03-12,2023-03-15,Admin,2025-12-10 13:49:04
184,TCK-VK43UGYL,Critical,On Hold,Access Request,Issue related to Security,Detailed ticket description wAmsOYXvGfMBmcclFkVp,2023-11-02,2023-11-13,Admin,2025-12-10 13:49:04
185,TCK-W8KHJ3EU,Low,Open,Access Request,Issue related to Network,Detailed ticket description gybrSDHGlrlIujJIvlCN,2023-12-29,,Technician B,2025-12-10 13:49:04
186,TCK-7Q3IISA6,High,Open,Hardware,Issue related to Other,Detailed ticket description vHvGckoFGrXTQxNlbmQf,2023-04-17,2023-05-03,IT Support 1,2025-12-10 13:49:04
187,TCK-MT7GPGQ9,Low,In Progress,Software,Issue related to Access Request,Detailed ticket description IXmARDXOxxWhJXXPQHfy,2023-06-15,,IT Support 2,2025-12-10 13:49:04
188,TCK-EVX718ER,Critical,In Progress,Network,Issue related to Access Request,Detailed ticket description WitRfEVbDlJzdaKpaZlk,2024-07-30,2024-08-17,Technician A,2025-12-10 13:49:04
189,TCK-PPBPBSFC,Critical,Open,Hardware,Issue related to Security,Detailed ticket description oXDMNzJndVdUvMPUybwl,2024-02-05,2024-02-13,IT Support 1,2025-12-10 13:49:04
190,TCK-X32AUT60,Medium,In Progress,Other,Issue related to Security,Detailed ticket description kxatHOIkEPsdiPQFcmpq,2024-06-06,2024-06-11,Admin,2025-12-10 13:49:04
191,TCK-48DADMVE,Low,On Hold,Network,Issue related to Access Request,Detailed ticket description DMOZBPjTFlvwobrHPIIi,2024-06-25,2024-07-08,IT Support 1,2025-12-10 13:49:04
192,TCK-2X41WRSC,Low,In Progress,Security,Issue related to Hardware,Detailed ticket description EaUlWnyRNAlZmgLwpFxL,2024-03-06,2024-03-17,Unassigned,2025-12-10 13:49:04
193,TCK-642YOMC2,Critical,Closed,Software,Issue related to Hardware,Detailed ticket description wtUKPFIMPykenOQtEyda,2023-04-25,2023-05-06,Technician B,2025-12-10 13:49:04
194,TCK-55GG90L0,Critical,Closed,Security,Issue related to Other,Detailed ticket description dInRyulKdcNZMkTaPvlK,2024-01-01,,Unassigned,2025-12-10 13:49:04
195,TCK-DLJPH099,Critical,In Progress,Network,Issue related to Security,Detailed ticket description smopEQbkSdChYOASyhWM,2024-08-31,,IT Support 1,2025-12-10 13:49:04
196,TCK-7K2K6625,High,Closed,Software,Issue related to Software,Detailed ticket description IkfDJrBZLQzUmqwpmKiw,2023-07-06,2023-08-02,Admin,2025-12-10 13:49:04
197,TCK-N6927DKM,Medium,On Hold,Access Request,Issue related to Hardware,Detailed ticket description soZkOepeQxUNxNNpJycg,2024-06-13,,Unassigned,2025-12-10 13:49:04
198,TCK-9ZEP39IE,Critical,Closed,Access Request,Issue related to Other,Detailed ticket description HeCTUfRTuuAZTSEWVAkH,2024-11-29,2024-11-30,Admin,2025-12-10 13:49:04
199,TCK-XWIFY93U,Low,On Hold,Other,Issue related to Software,Detailed ticket description xIyRmLVvelPtVwDqdYsR,2024-05-02,2024-05-16,Technician A,2025-12-10 13:49:04
200,TCK-2I9J6070,Critical,On Hold,Network,Issue related to Software,Detailed ticket description gyvJHbNEdqVihwQvBJEz,2024-08-20,2024-08-21,Unassigned,2025-12-10 13:49:04
201,TCK-HXQRLEXN,Medium,Open,Access Request,Issue related to Security,Detailed ticket description zzIJFfBbmNqLUCmFcxWX,2024-04-28,2024-05-16,Technician B,2025-12-10 13:49:04
202,TCK-H7ZY3KT4,Critical,In Progress,Software,Issue related to Security,Detailed ticket description RUedvdVdIRIApfMintQo,2023-02-05,2023-03-04,IT Support 2,2025-12-10 13:49:04
203,TCK-ODJJ2NI4,High,Open,Software,Issue related to Security,Detailed ticket description QLmpqSKphiTGaPRvzYQA,2024-10-24,2024-11-22,Technician B,2025-12-10 13:49:04
204,TCK-971A8GLR,Medium,Open,Security,Issue related to Security,Detailed ticket description sOzOWKsYhxMDNNepZnwg,2024-02-16,2024-02-27,IT Support 2,2025-12-10 13:49:04
205,TCK-DY88P2OG,Medium,Open,Software,Issue related to Software,Detailed ticket description CBuzOeqnLVYaaSqKrrYf,2024-03-17,2024-03-29,IT Support 1,2025-12-10 13:49:04
206,TCK-6Q23AGTD,Low,On Hold,Software,Issue related to Network,Detailed ticket description VnqqJahTZoQddFIgqcxx,2023-06-23,2023-07-01,Technician A,2025-12-10 13:49:04
207,TCK-FV4SBBT2,Low,In Progress,Network,Issue related to Security,Detailed ticket description wAKELPQnueHfvKxILMyw,2023-04-16,2023-05-07,Unassigned,2025-12-10 13:49:04
208,TCK-ULTLWONK,Low,Resolved,Access Request,Issue related to Other,Detailed ticket description QNUvYxuujzlTuhGJZVox,2024-09-11,,IT Support 1,2025-12-10 13:49:04
209,TCK-CB28QMUK,Medium,Closed,Access Request,Issue related to Access Request,Detailed ticket description mJLjrdkBoiUeaJIdsMUF,2024-07-30,2024-08-04,Unassigned,2025-12-10 13:49:04
210,TCK-LYZB005Z,Critical,Resolved,Network,Issue related to Security,Detailed ticket description zVXkXiXlqLfqRbrEoePT,2024-08-12,2024-08-23,Admin,2025-12-10 13:49:04
211,TCK-3NZEEF6W,Critical,Closed,Network,Issue related to Hardware,Detailed ticket description LESWkXqCsYinAguIXQCy,2024-09-25,,Technician A,2025-12-10 13:49:04
212,TCK-E3S1T7KY,High,Resolved,Access Request,Issue related to Other,Detailed ticket description GJsHsohAxIjaQNKXOGVd,2023-03-12,2023-04-06,Technician A,2025-12-10 13:49:04
213,TCK-9X5U0ET8,Critical,On Hold,Software,Issue related to Security,Detailed ticket description zHIWDuzlETGVbFzussdd,2024-04-11,,Unassigned,2025-12-10 13:49:04
214,TCK-EJ3TMQ5P,High,In Progress,Hardware,Issue related to Security,Detailed ticket description rEvgVxCvrBtyUtBwUKTX,2024-03-22,2024-04-05,Unassigned,2025-12-10 13:49:04
215,TCK-3NQWSN2E,High,On Hold,Security,Issue related to Software,Detailed ticket description tRJxPtCTEfQjcjuqcVUQ,2024-05-01,,IT Support 1,2025-12-10 13:49:04
216,TCK-12HKNM29,Low,In Progress,Hardware,Issue related to Security,Detailed ticket description HpiIPIWUJbnANZqTzbau,2024-04-28,,Admin,2025-12-10 13:49:04
217,TCK-UWARGV2R,Low,Resolved,Network,Issue related to Network,Detailed ticket description BsnircJQikzeXCWtAcrc,2023-10-22,2023-11-01,IT Support 1,2025-12-10 13:49:04
218,TCK-6NGIKQFV,High,Open,Network,Issue related to Access Request,Detailed ticket description cfmlsfQjrwQMUDEdOYeq,2023-07-15,2023-07-20,Unassigned,2025-12-10 13:49:04
219,TCK-A0KT4JC8,Low,On Hold,Security,Issue related to Access Request,Detailed ticket description HAedUBnOjqOCWhWbyWJw,2023-07-11,2023-07-13,Technician B,2025-12-10 13:49:04
220,TCK-6ZHMMJZK,Medium,Closed,Network,Issue related to Network,Detailed ticket description fQuNpsPmYmwxqVaGUfqS,2024-01-26,2024-02-16,Technician A,2025-12-10 13:49:04
221,TCK-EOXD23MS,Medium,Closed,Software,Issue related to Software,Detailed ticket description yJEuodJuKedEUnWDLqhv,2024-06-14,2024-06-27,IT Support 1,2025-12-10 13:49:04
222,TCK-VEVN9H0E,Critical,Resolved,Security,Issue related to Network,Detailed ticket description pIxliFFJuTkPqKJQRWxv,2024-11-09,2024-12-02,Technician B,2025-12-10 13:49:04
223,TCK-PQJK5LB9,Low,In Progress,Network,Issue related to Security,Detailed ticket description tbXpkwmaqsqCElUlHSdg,2024-04-19,2024-05-05,Technician B,2025-12-10 13:49:04
224,TCK-NWG2BYHV,Low,Closed,Network,Issue related to Security,Detailed ticket description fVLRxvidmxouSIbdlKte,2024-07-08,2024-07-16,Technician A,2025-12-10 13:49:04
225,TCK-1UNSFQ4K,High,On Hold,Access Request,Issue related to Software,Detailed ticket description ozeDTbgmmSborOuSCFcn,2024-01-19,2024-02-04,Admin,2025-12-10 13:49:04
226,TCK-826E7D5T,High,On Hold,Hardware,Issue related to Access Request,Detailed ticket description WJFSRUZnhRpSuDIKtmYz,2023-10-13,2023-10-19,Technician A,2025-12-10 13:49:04
227,TCK-M1B2LKJX,Critical,On Hold,Software,Issue related to Security,Detailed ticket description TtnZsPLyutrVVJPPneTX,2023-10-20,,Technician A,2025-12-10 13:49:04
228,TCK-RGVA647B,Critical,Resolved,Security,Issue related to Network,Detailed ticket description JCjlXUsqMrixxqufRGOF,2024-04-02,2024-04-29,Unassigned,2025-12-10 13:49:04
229,TCK-OMPCZV6D,Critical,On Hold,Security,Issue related to Software,Detailed ticket description LTOYWSYfovYlbaPNCKhq,2024-04-06,,Admin,2025-12-10 13:49:04
230,TCK-PVB6APSY,Medium,In Progress,Network,Issue related to Security,Detailed ticket description VRKyYXFpXAQrFUkmLatw,2023-10-03,2023-10-05,IT Support 1,2025-12-10 13:49:04
231,TCK-VCXVH6FT,Critical,Closed,Hardware,Issue related to Network,Detailed ticket description UOwluiFLacKSfuAQIZpB,2024-09-06,,Technician A,2025-12-10 13:49:04
232,TCK-LRUF1BHB,Critical,On Hold,Network,Issue related to Network,Detailed ticket description ByzDWKSJGbueTLFBOQxT,2023-10-19,2023-10-30,Technician B,2025-12-10 13:49:04
233,TCK-TQ3Q2ZF4,High,In Progress,Software,Issue related to Hardware,Detailed ticket description FcFCnvSkwJoXwbqqckLg,2024-11-07,2024-12-07,Unassigned,2025-12-10 13:49:04
234,TCK-ZQCHUG3N,High,Resolved,Software,Issue related to Software,Detailed ticket description fBGEAxFygSQpSCYanKhs,2024-07-25,,Admin,2025-12-10 13:49:04
235,TCK-YCV73EW5,Medium,Closed,Software,Issue related to Other,Detailed ticket description vcvTrSEBqSHseayqqJso,2023-04-05,2023-04-27,Unassigned,2025-12-10 13:49:04
236,TCK-8BK6AHPE,Critical,Resolved,Network,Issue related to Access Request,Detailed ticket description VQAAYwwYhVxrKRBjwnnB,2024-04-10,2024-04-20,Technician A,2025-12-10 13:49:04
237,TCK-2UA9S6MU,Low,On Hold,Access Request,Issue related to Software,Detailed ticket description LlvfmgUHpMbgNkXrfxRb,2024-05-28,2024-06-15,Technician B,2025-12-10 13:49:04
238,TCK-0BTQXUO1,High,Closed,Software,Issue related to Other,Detailed ticket description otOswYAWIMruROfcfQuy,2023-05-31,,IT Support 1,2025-12-10 13:49:04
239,TCK-VQV7U4WX,High,Resolved,Other,Issue related to Access Request,Detailed ticket description EzQqKahdYwMHMiUGlbjM,2023-09-09,2023-09-13,IT Support 2,2025-12-10 13:49:04
240,TCK-HI0XNS4V,High,In Progress,Network,Issue related to Software,Detailed ticket description LBQWrTrMGcsdNpjoZchK,2024-05-22,2024-06-10,IT Support 1,2025-12-10 13:49:04
241,TCK-NKV7LPAD,Medium,Open,Hardware,Issue related to Hardware,Detailed ticket description PsieoxKoCjmcAPZnBsJs,2024-04-05,2024-05-05,IT Support 2,2025-12-10 13:49:04
242,TCK-NILB89RI,Critical,On Hold,Other,Issue related to Hardware,Detailed ticket description SXuQJtZhdiCWYJQWgWTl,2024-01-11,2024-02-03,IT Support 1,2025-12-10 13:49:04
243,TCK-4YNXE4Q7,Critical,Open,Hardware,Issue related to Other,Detailed ticket description LypREerCpxJHYKbAsCdU,2024-03-15,,Admin,2025-12-10 13:49:04
244,TCK-YN540BNK,Medium,Open,Network,Issue related to Network,Detailed ticket description sZXWruxlfhHwzdCYbjQd,2023-04-21,2023-04-24,IT Support 2,2025-12-10 13:49:04
245,TCK-0U1703WT,Medium,Resolved,Other,Issue related to Other,Detailed ticket description uGGzCtBxIyuzlIJSktai,2023-12-17,2024-01-12,IT Support 2,2025-12-10 13:49:04
246,TCK-V1Q1L0A8,Medium,In Progress,Other,Issue related to Other,Detailed ticket description BNbpdPEHosSwWRhAigNs,2024-06-27,2024-07-07,Technician A,2025-12-10 13:49:04
247,TCK-9HQ69S8I,Critical,Open,Other,Issue related to Network,Detailed ticket description EvOVWqBnahfpmggNEwvv,2023-11-12,,IT Support 2,2025-12-10 13:49:04
248,TCK-YSG2J3GR,Medium,On Hold,Access Request,Issue related to Hardware,Detailed ticket description KYnPBfowovyYgoQiUqer,2024-09-23,2024-10-08,IT Support 2,2025-12-10 13:49:04
249,TCK-GQKOPF5G,Low,Open,Access Request,Issue related to Other,Detailed ticket description RgeHpWZbpmPrOfuSDZTZ,2023-05-28,2023-06-08,IT Support 2,2025-12-10 13:49:04
250,TCK-LAINE9DF,Medium,Resolved,Other,Issue related to Hardware,Detailed ticket description ZrzKplDoYQdZWkkwlGlE,2023-06-01,,Technician A,2025-12-10 13:49:04
251,TCK-CJRXT4IG,Critical,On Hold,Other,Issue related to Software,Detailed ticket description fCZgMnZcpxoknedcddKb,2024-02-27,2024-03-24,Unassigned,2025-12-10 13:49:04
252,TCK-3Y1BIDQT,Critical,Open,Other,Issue related to Security,Detailed ticket description rjahsNwrgfoahmtBtmyh,2024-04-03,2024-05-01,Technician B,2025-12-10 13:49:04
253,TCK-6RCLR5DV,High,Open,Network,Issue related to Hardware,Detailed ticket description exWSkPsPAobIVZeNxsUq,2024-06-14,2024-07-01,Technician A,2025-12-10 13:49:04
254,TCK-XETYQ39M,Low,Resolved,Hardware,Issue related to Security,Detailed ticket description SLpuOBiszVkeOUqngTxg,2024-06-08,2024-07-01,Technician A,2025-12-10 13:49:04
255,TCK-42JA9EU2,Low,In Progress,Security,Issue related to Hardware,Detailed ticket description eejFhHZEOdSNNlxkcUKw,2023-12-14,2023-12-16,Technician B,2025-12-10 13:49:04
256,TCK-E1QK3EAD,Medium,In Progress,Software,Issue related to Other,Detailed ticket description pFjllRSYUVXxnxlydFNY,2024-05-27,2024-06-06,Technician B,2025-12-10 13:49:04
257,TCK-TSPPFI9E,High,Open,Software,Issue related to Security,Detailed ticket description mxCYMohdNpJmfHPSKAqF,2023-09-05,2023-09-29,Admin,2025-12-10 13:49:04
258,TCK-1YVANNIX,Critical,On Hold,Network,Issue related to Network,Detailed ticket description oOYBDxVVsBfvoPJHctjA,2023-06-20,2023-07-13,IT Support 2,2025-12-10 13:49:04
259,TCK-0TNF9JO6,Low,Closed,Access Request,Issue related to Network,Detailed ticket description aiOjrvfcJSaRjgvAGTWH,2024-03-03,,Unassigned,2025-12-10 13:49:04
260,TCK-RXXO8XMY,Low,Closed,Security,Issue related to Network,Detailed ticket description TSlAKfmiCfALXKsgALrx,2024-08-26,2024-09-17,IT Support 2,2025-12-10 13:49:04
261,TCK-VBPQW3DG,Low,On Hold,Other,Issue related to Network,Detailed ticket description MWLcjCowScpaNDSGdGHl,2024-10-05,,IT Support 2,2025-12-10 13:49:04
262,TCK-8AUZV07M,Low,Open,Network,Issue related to Other,Detailed ticket description iPcxVowhmjzDHVkFhAlF,2023-01-10,2023-02-07,Technician B,2025-12-10 13:49:04
263,TCK-NU4KOU3N,High,In Progress,Access Request,Issue related to Network,Detailed ticket description KBNJwSZATaynGjPvmLcw,2024-07-24,2024-08-20,IT Support 1,2025-12-10 13:49:04
264,TCK-S5JYB6VZ,High,On Hold,Software,Issue related to Software,Detailed ticket description SsPwsgVOltIOIZSqREUp,2024-08-20,2024-09-01,Admin,2025-12-10 13:49:04
265,TCK-RAF8SEXH,Low,Open,Access Request,Issue related to Access Request,Detailed ticket description AiwSHXPOpjaExSFFuvdE,2024-02-24,2024-03-10,Technician A,2025-12-10 13:49:04
266,TCK-XSV3FC3T,High,Closed,Hardware,Issue related to Network,Detailed ticket description jmHlAOKEBPfbyNryxcMj,2023-06-28,2023-07-08,Technician B,2025-12-10 13:49:04
267,TCK-GOY1XWPT,High,On Hold,Access Request,Issue related to Other,Detailed ticket description bFupRDSGbrqrpImgGOVu,2024-04-27,2024-05-08,Unassigned,2025-12-10 13:49:04
268,TCK-3CNSIGPZ,Medium,In Progress,Network,Issue related to Access Request,Detailed ticket description OjmAWJieyfGONPzJcyme,2024-03-07,,Technician A,2025-12-10 13:49:04
269,TCK-J6KSAUMT,Medium,In Progress,Security,Issue related to Security,Detailed ticket description tYQjxLpgWyORnJFvIZtr,2024-07-30,2024-08-13,Technician A,2025-12-10 13:49:04
270,TCK-S2PW508B,Low,On Hold,Access Request,Issue related to Security,Detailed ticket description GNpVvfKbqdsZuNdwhAWJ,2024-06-24,2024-07-10,Technician A,2025-12-10 13:49:04
271,TCK-C714HD49,High,In Progress,Network,Issue related to Other,Detailed ticket description DkiRokNLZaSuSSrbxgDQ,2024-04-10,,IT Support 1,2025-12-10 13:49:04
272,TCK-3REZ8KJ7,High,Open,Hardware,Issue related to Hardware,Detailed ticket description bfRCYSGnOxnqfjZCiSdw,2024-02-06,2024-02-29,Technician B,2025-12-10 13:49:04
273,TCK-EOYHZWAQ,Critical,Resolved,Software,Issue related to Network,Detailed ticket description MpgrfYXmrVdtkJPxBoas,2024-04-23,,Technician A,2025-12-10 13:49:04
274,TCK-YR1T2D0X,Medium,Closed,Access Request,Issue related to Software,Detailed ticket description UTBLEIUQvdeiGjELGldH,2023-05-23,2023-06-03,Technician A,2025-12-10 13:49:04
275,TCK-Q1ZVDGJ5,Low,Closed,Access Request,Issue related to Other,Detailed ticket description IMPnyYSthSSVFEZPJONl,2024-09-19,2024-10-19,Technician B,2025-12-10 13:49:04
276,TCK-QLAT69E6,Critical,On Hold,Other,Issue related to Software,Detailed ticket description XqueUrfBBVdMfRttoCgg,2023-01-10,2023-01-27,Admin,2025-12-10 13:49:04
277,TCK-7POKRGSD,Medium,In Progress,Software,Issue related to Other,Detailed ticket description KeJxfCEWPKTJyfPfFLXp,2024-01-19,2024-01-28,Unassigned,2025-12-10 13:49:04
278,TCK-HIFM7HDP,High,On Hold,Software,Issue related to Software,Detailed ticket description xRLoiOFlFgNTGkLDgxIM,2024-09-22,,Unassigned,2025-12-10 13:49:04
279,TCK-MDMA5FNI,Medium,Open,Software,Issue related to Access Request,Detailed ticket description PSBInamqafbuUAQNvoyZ,2023-07-03,2023-07-10,Technician B,2025-12-10 13:49:04
280,TCK-8QK6CIXQ,Critical,Closed,Other,Issue related to Access Request,Detailed ticket description qeUqJsVjQYQSWRDYmmlo,2024-08-23,2024-09-01,Unassigned,2025-12-10 13:49:04
281,TCK-BE5J90WN,Low,In Progress,Hardware,Issue related to Other,Detailed ticket description KXPkgpZAzdBNriDjUFxG,2024-10-04,2024-11-03,IT Support 2,2025-12-10 13:49:04
282,TCK-BM8OQT9X,High,Open,Other,Issue related to Access Request,Detailed ticket description fDPzwuJmWnheNNpIUDWc,2023-08-19,,Unassigned,2025-12-10 13:49:04
283,TCK-R4ETLQQL,Critical,Resolved,Access Request,Issue related to Network,Detailed ticket description LfTmyuhNYWLwqAIGdgBj,2023-08-05,,Unassigned,2025-12-10 13:49:04
284,TCK-Q5A783SU,Critical,In Progress,Software,Issue related to Security,Detailed ticket description ASmqXVWvhSyAVGnhSAMx,2023-02-21,2023-03-04,IT Support 1,2025-12-10 13:49:04
285,TCK-X4PQXWA6,Critical,Closed,Security,Issue related to Access Request,Detailed ticket description tsOkmONndWvNlITWSWlu,2023-02-16,2023-02-24,Admin,2025-12-10 13:49:04
286,TCK-2WS927EE,High,Open,Software,Issue related to Software,Detailed ticket description wWOwemvVOChIOwAALrsd,2024-07-24,,IT Support 1,2025-12-10 13:49:04
287,TCK-ULVQ8FV6,Medium,In Progress,Security,Issue related to Hardware,Detailed ticket description RJRbBczCaZPtkZtxuxmP,2024-04-14,,Technician A,2025-12-10 13:49:04
288,TCK-Q6ABQD8F,Low,Open,Software,Issue related to Software,Detailed ticket description smTkPHQPWBJJAdqVPkbu,2024-05-02,2024-05-10,Admin,2025-12-10 13:49:04
289,TCK-HIKR535G,High,In Progress,Software,Issue related to Software,Detailed ticket description dIfMvqOoHGkPQtzJwEHz,2024-10-14,2024-11-05,Technician A,2025-12-10 13:49:04
290,TCK-7W0HH431,Low,Closed,Software,Issue related to Hardware,Detailed ticket description IFMRZGvijtYEIEMzIRxP,2023-12-28,2023-12-31,Unassigned,2025-12-10 13:49:04
291,TCK-OF72ZCII,Medium,In Progress,Security,Issue related to Software,Detailed ticket description zYMeqGcbtyZrhXbsbLsc,2023-10-04,2023-10-05,Unassigned,2025-12-10 13:49:04
292,TCK-7TEBV8UO,Critical,Resolved,Network,Issue related to Security,Detailed ticket description tJhvYKmIpNlhaoQeVxeT,2024-07-20,2024-08-06,Unassigned,2025-12-10 13:49:04
293,TCK-CVSXZNEO,Medium,Open,Other,Issue related to Hardware,Detailed ticket description WjEJOrIuVuQKypaYmTOk,2023-04-14,2023-05-08,IT Support 1,2025-12-10 13:49:04
294,TCK-3DR6ECRJ,Critical,In Progress,Network,Issue related to Other,Detailed ticket description sfGwyiDdXUEmkaQkHAaE,2024-02-26,2024-03-19,Technician B,2025-12-10 13:49:04
295,TCK-9VFZJ5JH,Medium,Open,Security,Issue related to Software,Detailed ticket description CqCQNelFRhfMViUhVVgW,2024-10-04,2024-10-29,Technician A,2025-12-10 13:49:04
296,TCK-UQ94MQA9,Medium,Closed,Software,Issue related to Access Request,Detailed ticket description nhZBHQEUxarSCMAMBPQX,2024-07-12,,IT Support 1,2025-12-10 13:49:04
297,TCK-XMZAVBH2,Medium,In Progress,Software,Issue related to Hardware,Detailed ticket description vUoYnTDDPhjKqZPjhNSN,2023-07-19,2023-08-04,Technician A,2025-12-10 13:49:04
